idx,date,hash,a,b,c,d,e,f,g,h,Y
8711,20190717,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,46,0,77,0,0,0,0,0,0
8712,20190718,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,33,1,77,77,0,0,0,0,0
8713,20190719,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,32,1,77,77,0,0,0,0,0
8714,20190720,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,43,1,77,77,0,0,0,0,0
8715,20190721,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,70,1,77,77,0,0,0,0,0
8716,20190722,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,53,0,77,0,0,0,0,0,0
8717,20190723,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,32,0,77,0,0,0,0,0,0
8718,20190724,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,28,0,77,0,0,0,0,0,0
8719,20190725,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,15,0,77,0,0,0,0,0,0
8720,20190726,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,27,0,77,0,0,0,0,0,0
8721,20190727,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,18,0,77,0,0,0,0,0,0
8722,20190728,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,38,0,77,0,0,0,0,0,0
8723,20190729,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,22,0,77,0,0,0,0,0,0
8724,20190730,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,17,0,77,0,0,0,0,0,0
8725,20190731,09a130ceb1a48751a5bd6bda21f9a5a2d421bb9d39fb8b22c0c54e5faada21b8,32,1,77,77,0,0,0,0,0
8726,20190701,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8727,20190702,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8728,20190703,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8729,20190704,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8730,20190705,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8731,20190706,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8732,20190707,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8733,20190708,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8734,20190709,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8735,20190710,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8736,20190711,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8737,20190712,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8738,20190713,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8739,20190714,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8740,20190715,d39d00c27899d9ef39ea4bec51d6aecf7f2207bf1ceae0510f3624ad2c51c2d9,0,0,77,0,0,0,0,0,0
8741,20190712,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,79,3,77,231,0,0,0,0,0
8742,20190713,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,460,26,77,2002,9,7,5,0,2
8743,20190714,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,423,24,77,1848,3,2,0,0,0
8744,20190715,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,331,12,77,924,2,2,0,0,0
8745,20190716,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,166,5,77,385,2,2,0,0,1
8746,20190717,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,181,4,77,308,0,0,0,0,0
8747,20190718,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,89,3,77,231,1,1,0,0,0
8748,20190719,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,39,1,77,77,0,0,0,0,0
8749,20190720,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,64,1,77,77,0,0,0,0,0
8750,20190721,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,46,3,77,231,0,0,0,0,0
8751,20190722,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,45,0,77,0,0,0,0,0,0
8752,20190723,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,19,1,77,77,1,0,0,0,0
8753,20190724,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,45,6,77,462,1,1,0,0,0
8754,20190725,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,22,2,77,154,3,1,0,0,0
8755,20190726,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,21,0,77,0,0,0,0,0,0
8756,20190727,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,16,0,77,0,0,0,0,0,0
8757,20190728,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,11,1,77,77,0,0,0,0,0
8758,20190729,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,24,0,77,0,0,0,0,0,0
8759,20190730,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,19,0,77,0,0,0,0,0,0
8760,20190731,4b99b6825bbeae16b115c5f65c0f499d4e7d112a057fd4edad21c05c66493bef,5,0,77,0,0,0,0,0,0
8761,20190701,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,7,0,77,0,0,0,0,0,0
8762,20190702,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,1,0,77,0,0,0,0,0,0
8763,20190703,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,3,1,77,77,0,0,0,0,0
8764,20190704,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,2,0,77,0,0,0,0,0,0
8765,20190705,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,4,0,77,0,0,0,0,0,0
8766,20190706,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,3,0,77,0,0,0,0,0,0
8767,20190707,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,4,0,77,0,0,0,0,0,0
8768,20190708,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,3,0,77,0,0,0,0,0,0
8769,20190709,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,2,0,77,0,0,0,0,0,0
8770,20190710,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,5,0,77,0,0,0,0,0,0
8771,20190711,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,2,0,77,0,0,0,0,0,0
8772,20190712,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,6,0,77,0,0,0,0,0,0
8773,20190713,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,3,0,77,0,0,0,0,0,0
8774,20190714,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,4,0,77,0,0,0,0,0,0
8775,20190715,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,5,0,77,0,0,0,0,0,0
8776,20190716,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,2,0,77,0,0,0,0,0,0
8777,20190717,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,14,0,77,0,0,0,0,0,0
8778,20190718,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,6,0,77,0,0,0,0,0,0
8779,20190719,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,0,0,77,0,0,0,0,0,0
8780,20190720,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,4,0,77,0,0,0,0,0,0
8781,20190721,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,5,0,77,0,0,0,0,0,0
8782,20190722,2a435153fe1ca1735573eddec874f6d5b856b8c0dcc6ef7b665dc4edb7f2f35a,5,0,77,0,0,0,0,0,0
8783,20190701,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,24,0,77,0,0,0,0,0,0
8784,20190702,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,20,0,77,0,0,0,0,0,0
8785,20190703,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,10,0,77,0,0,0,0,0,0
8786,20190704,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,9,0,77,0,0,0,0,0,0
8787,20190705,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,7,0,77,0,0,0,0,0,0
8788,20190706,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,5,0,77,0,0,0,0,0,0
8789,20190707,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,7,0,77,0,0,0,0,0,0
8790,20190708,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,9,0,77,0,0,0,0,0,0
8791,20190709,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,13,0,77,0,0,0,0,0,0
8792,20190710,bd6508899e6b053e93fcf355613ea69bbb61911abc6a72e466fa162fb20320b0,4,0,77,0,0,0,0,0,0
8793,20190702,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,28,2,77,154,2,1,1,0,1
8794,20190703,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,27,0,77,0,0,0,0,0,0
8795,20190704,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,31,5,77,385,0,0,0,0,0
8796,20190705,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,49,2,77,154,0,0,0,0,0
8797,20190706,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,72,5,77,385,0,0,0,0,0
8798,20190707,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,41,5,77,385,0,0,0,0,0
8799,20190708,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,19,1,77,77,0,0,0,0,0
8800,20190709,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,16,0,77,0,0,0,0,0,0
8801,20190710,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,14,3,77,231,0,0,0,0,0
8802,20190711,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,12,0,77,0,0,0,0,0,0
8803,20190712,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,13,0,77,0,0,0,0,0,0
8804,20190713,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,19,3,77,231,0,0,0,0,0
8805,20190714,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,25,1,77,77,0,0,0,0,0
8806,20190715,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,8,1,77,77,0,0,0,0,0
8807,20190716,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,15,1,77,77,0,0,0,0,0
8808,20190717,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,23,2,77,154,0,0,0,0,0
8809,20190718,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,8,0,77,0,0,0,0,0,0
8810,20190719,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,8,0,77,0,0,0,0,0,0
8811,20190720,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,33,1,77,77,0,0,0,0,0
8812,20190721,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,54,2,77,154,0,0,0,0,0
8813,20190722,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,54,7,77,539,0,0,0,0,1
8814,20190723,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,464,24,77,1848,1,1,0,0,2
8815,20190724,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,1332,48,77,3696,3,3,1,0,2
8816,20190725,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,790,32,77,2464,0,0,0,0,0
8817,20190726,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,501,22,77,1694,0,0,0,0,1
8818,20190727,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,491,27,77,2079,1,1,0,0,0
8819,20190728,4a108684f469845ff5ecfe2c12abbc07f7048452b1880618708c9a62d1a71a0d,120,1,77,77,0,0,0,0,0
8820,20190727,cbf48f0938c6ee5a2966ba21e060ffa2aae42cf09591ca254eaecd54412927d0,13,0,77,0,0,0,0,0,0
8821,20190728,cbf48f0938c6ee5a2966ba21e060ffa2aae42cf09591ca254eaecd54412927d0,38,0,77,0,0,0,0,0,0
8822,20190729,cbf48f0938c6ee5a2966ba21e060ffa2aae42cf09591ca254eaecd54412927d0,30,0,77,0,0,0,0,0,0
8823,20190730,cbf48f0938c6ee5a2966ba21e060ffa2aae42cf09591ca254eaecd54412927d0,19,0,77,0,0,0,0,0,0
8824,20190731,cbf48f0938c6ee5a2966ba21e060ffa2aae42cf09591ca254eaecd54412927d0,18,0,77,0,0,0,0,0,0
8825,20190715,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,18,0,77,0,0,0,0,0,0
8826,20190716,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,10,0,77,0,0,0,0,0,0
8827,20190717,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,21,0,77,0,0,0,0,0,0
8828,20190718,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,23,0,77,0,0,0,0,0,0
8829,20190719,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,48,0,77,0,0,0,0,0,0
8830,20190720,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,14,0,77,0,0,0,0,0,0
8831,20190721,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,2,0,77,0,0,0,0,0,0
8832,20190722,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,2,0,77,0,0,0,0,0,0
8833,20190723,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,5,0,77,0,0,0,0,0,0
8834,20190724,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,6,0,77,0,0,0,0,0,0
8835,20190725,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,2,0,77,0,0,0,0,0,0
8836,20190726,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,3,0,77,0,0,0,0,0,0
8837,20190727,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,3,0,77,0,0,0,0,0,0
8838,20190728,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,3,0,77,0,0,0,0,0,0
8839,20190729,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,3,0,77,0,0,0,0,0,0
8840,20190730,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,0,0,77,0,0,0,0,0,0
8841,20190731,4cfed7e183aff78e135925dc50ab51d99ffff6a8cb686c3f8046c75c57f61a8f,1,0,77,0,0,0,0,0,0
8842,20190701,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,226,0,77,0,0,0,0,0,0
8843,20190702,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,2542,3,77,231,0,0,0,0,0
8844,20190703,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4747,4,77,308,0,0,0,0,0
8845,20190704,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3139,8,79,638,2,1,2,0,1
8846,20190705,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,2828,3,77,231,0,0,0,0,0
8847,20190706,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4417,14,86,1210,2,2,5,0,1
8848,20190707,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4347,10,93,935,3,3,0,0,0
8849,20190708,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,5660,8,89,715,0,0,0,0,0
8850,20190709,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,7262,10,80,803,0,0,0,0,0
8851,20190710,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,2509,5,77,385,0,0,0,0,0
8852,20190711,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,45,0,77,0,0,0,0,0,0
8853,20190712,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,44,0,77,0,0,0,0,0,0
8854,20190713,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,202,2,99,198,1,0,0,0,0
8855,20190714,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,139,0,77,0,0,0,0,0,0
8856,20190715,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,106,1,99,99,0,0,0,0,0
8857,20190716,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,30,0,77,0,2,0,0,0,0
8858,20190717,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,73,0,77,0,1,1,1,0,0
8859,20190718,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,56,0,77,0,0,0,0,0,0
8860,20190719,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,61,0,77,0,0,0,0,0,0
8861,20190720,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,231,1,99,99,0,0,0,0,0
8862,20190721,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3725,8,88,704,0,0,0,0,0
8863,20190722,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3581,8,93,748,3,2,0,0,1
8864,20190723,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3976,4,88,352,0,0,0,0,0
8865,20190724,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4838,11,92,1012,1,0,0,0,0
8866,20190725,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3828,10,90,902,0,0,0,0,0
8867,20190726,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3288,4,99,396,1,0,0,0,0
8868,20190727,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4215,12,98,1177,0,0,0,0,0
8869,20190728,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4448,16,100,1606,3,3,2,0,1
8870,20190729,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,2923,5,88,440,0,0,0,0,0
8871,20190730,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,4555,12,88,1056,0,0,0,0,0
8872,20190731,8a5fde52a5f5e837c784c246434be6787b8227ab5b4bb89c914339d7d682bf04,3082,5,88,440,0,0,0,0,0
8873,20190701,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,185,3,88,264,0,0,0,0,0
8874,20190702,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,302,2,88,176,0,0,0,0,0
8875,20190703,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,416,9,97,880,1,1,0,0,1
8876,20190704,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,367,1,88,88,0,0,0,0,0
8877,20190705,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,389,1,88,88,0,0,0,0,0
8878,20190706,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,534,4,88,352,2,1,9,0,1
8879,20190707,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,652,3,99,297,0,0,0,0,0
8880,20190708,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,358,5,99,495,0,0,0,0,0
8881,20190709,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,502,4,99,396,3,1,0,0,0
8882,20190710,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,407,1,99,99,0,0,0,0,0
8883,20190711,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,240,2,99,198,0,0,0,0,0
8884,20190712,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,205,2,99,198,0,0,0,0,0
8885,20190713,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,439,6,99,594,0,0,0,0,0
8886,20190714,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,613,3,99,297,0,0,0,0,0
8887,20190715,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,323,1,99,99,0,0,0,0,0
8888,20190716,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,264,2,99,198,1,1,0,0,0
8889,20190717,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,194,1,99,99,0,0,0,0,0
8890,20190718,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,229,3,99,297,0,0,0,0,0
8891,20190719,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,196,4,99,396,1,0,0,0,1
8892,20190720,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,451,2,99,198,0,0,0,0,0
8893,20190721,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,628,1,99,99,0,0,0,0,0
8894,20190722,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,283,1,99,99,0,0,0,0,0
8895,20190723,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,365,2,99,198,1,0,0,0,1
8896,20190724,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,321,2,99,198,0,0,0,0,0
8897,20190725,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,270,3,99,297,0,0,0,0,0
8898,20190726,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,176,6,99,594,0,0,0,0,0
8899,20190727,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,148,2,99,198,0,0,0,0,0
8900,20190728,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,256,3,99,297,0,0,0,0,0
8901,20190729,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,170,1,99,99,0,0,0,0,0
8902,20190730,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,147,3,99,297,0,0,0,0,0
8903,20190731,89fc7edaa2a4931b36cc6f45e1c74cb0a5063d2bcee7cf4e38b4f1162e7ae81b,121,1,99,99,0,0,0,0,0
8904,20190703,41acd67f90d610cc476f8f3a2b5aab4ebca9b1a94839998ca60116e9c8c8feb7,2,0,77,0,0,0,0,0,0
8905,20190704,41acd67f90d610cc476f8f3a2b5aab4ebca9b1a94839998ca60116e9c8c8feb7,3,0,77,0,0,0,0,0,0
8906,20190705,41acd67f90d610cc476f8f3a2b5aab4ebca9b1a94839998ca60116e9c8c8feb7,5,0,77,0,0,0,0,0,0
8907,20190706,41acd67f90d610cc476f8f3a2b5aab4ebca9b1a94839998ca60116e9c8c8feb7,1,0,77,0,0,0,0,0,0
8908,20190707,41acd67f90d610cc476f8f3a2b5aab4ebca9b1a94839998ca60116e9c8c8feb7,6,0,77,0,0,0,0,0,0
